Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,OnTimeDelivery
D,Road,5,5,272,2,low,M,56,989,0
F,Ship,2,1,240,8,medium,F,6,6870,0
C,Road,2,5,68,7,high,F,47,3292,0
F,Ship,2,1,82,8,medium,F,32,3278,0
F,Flight,5,3,113,2,medium,M,55,7090,0
B,Flight,4,5,75,8,medium,F,24,5050,1
C,Road,4,1,222,8,medium,M,34,6438,0
C,Flight,3,3,50,9,medium,M,38,904,1
C,Ship,5,3,252,3,high,F,22,2414,0
F,Flight,3,3,243,2,medium,F,10,5307,0
D,Flight,7,4,294,2,medium,M,21,5093,0
C,Ship,3,5,212,9,low,M,46,1495,0
F,Road,3,5,126,8,low,F,11,4536,1
B,Road,3,5,152,10,low,M,34,1091,1
D,Flight,2,5,275,3,low,M,33,4997,0
B,Ship,7,4,275,5,high,F,0,6873,0
D,Road,3,5,276,9,high,M,31,4874,1
F,Road,4,1,145,7,low,M,3,4511,0
A,Flight,3,3,222,3,low,F,23,4519,1
D,Ship,2,4,125,3,low,M,21,1368,0
B,Road,6,4,82,8,medium,F,34,5734,0
F,Flight,7,5,131,10,high,F,28,7048,1
D,Flight,6,3,118,9,low,F,16,1248,1
A,Flight,6,1,132,3,medium,F,27,6153,0
A,Flight,7,3,208,4,medium,F,46,1664,1
C,Road,5,2,268,9,low,F,40,3377,0
C,Ship,4,3,241,5,low,M,16,6359,1
B,Flight,2,1,155,7,low,F,3,5950,0
D,Flight,7,1,151,3,low,M,40,4665,0
D,Road,6,1,163,2,medium,M,5,4017,0
C,Flight,2,4,192,7,low,M,43,4668,1
D,Flight,2,4,95,9,high,F,23,6023,0
D,Ship,5,2,169,6,low,F,53,7088,1
A,Flight,6,3,97,2,low,F,30,6385,0
C,Road,3,5,117,3,low,M,8,6795,1
F,Ship,2,2,132,4,high,F,52,959,1
C,Road,6,5,134,3,medium,M,1,1437,0
F,Ship,2,5,175,10,high,F,19,6934,1
A,Ship,5,2,217,3,low,M,3,7322,0
B,Flight,5,3,170,4,medium,F,43,5196,1
D,Flight,3,5,178,10,low,M,61,4814,1
A,Flight,5,4,69,4,low,F,12,6301,1
D,Road,6,4,199,9,low,F,19,4404,1
B,Flight,7,2,231,9,low,F,51,1279,0
B,Flight,5,5,254,4,low,F,5,756,1
A,Ship,7,2,282,4,low,M,14,1728,1
B,Flight,3,4,114,9,low,F,63,6298,1
F,Flight,4,2,192,4,high,M,35,4581,1
B,Flight,2,5,110,5,medium,M,35,6939,0
D,Flight,2,5,128,6,low,M,2,1145,0
D,Ship,6,4,63,8,high,F,39,2704,1
D,Flight,3,1,118,2,low,F,37,5026,0
D,Ship,3,1,171,9,low,F,44,6309,1
F,Road,3,3,98,4,medium,F,61,7223,0
C,Flight,2,4,183,8,low,F,65,6154,0
A,Flight,5,3,218,4,low,M,23,3551,0
D,Flight,2,4,208,10,high,F,5,7931,1
B,Ship,2,5,165,6,low,F,1,1112,0
D,Flight,2,4,139,4,high,F,25,7157,0
B,Flight,5,2,299,4,low,M,43,7397,1
B,Road,4,3,241,5,high,F,0,4855,1
D,Ship,6,4,138,6,low,M,1,7462,1
F,Ship,4,3,228,6,medium,F,10,2184,0
B,Road,4,4,236,9,low,M,29,7464,0
B,Ship,2,1,232,7,low,F,33,2061,1
D,Flight,4,3,166,6,low,M,60,7569,0
B,Flight,2,5,171,3,low,F,33,7316,1
B,Road,2,5,226,6,low,F,1,2495,1
D,Ship,6,4,280,8,low,F,63,3065,1
D,Ship,3,5,217,4,low,M,2,1095,0
A,Ship,2,5,64,8,medium,F,65,7098,1
F,Road,4,3,247,2,medium,F,29,785,0
F,Flight,6,4,242,7,low,F,34,606,1
B,Road,7,3,282,2,medium,F,21,5340,0
F,Flight,7,4,56,8,low,M,61,3579,0
B,Road,7,5,239,7,high,F,53,6532,0
A,Flight,4,4,103,2,low,F,59,1886,0
D,Ship,3,4,229,10,low,F,37,7759,1
D,Ship,5,2,228,6,medium,M,29,2195,0
D,Ship,3,4,53,8,high,F,1,1827,1
F,Road,6,2,50,2,medium,F,19,4092,0
A,Road,3,3,154,9,low,F,43,3615,1
F,Road,7,2,115,9,low,M,8,3511,1
F,Ship,3,3,289,10,low,F,13,1782,0
A,Flight,6,4,275,3,high,F,10,5407,0
A,Ship,6,3,212,7,low,F,9,5413,1
A,Ship,7,5,287,6,high,F,56,6871,1
A,Flight,4,4,254,7,high,M,5,803,1
D,Flight,2,2,130,6,low,M,16,4346,1
C,Flight,5,1,187,2,medium,F,12,3581,1
C,Flight,5,4,244,3,low,F,58,5953,0
A,Ship,7,5,117,4,low,M,46,4851,0
C,Road,5,3,266,8,medium,F,3,5765,1
